private secretary	http://dbpedia.org/resource/Secretary
Benjamin F. Hopkins	http://dbpedia.org/resource/Benjamin_F._Hopkins
Forest Ridge School of the Sacred Heart	http://dbpedia.org/resource/Forest_Ridge_School_of_the_Sacred_Heart
Wiveliscombe	http://dbpedia.org/resource/Wiveliscombe
poet	http://dbpedia.org/resource/Poet
Brigham Young University	http://dbpedia.org/resource/Brigham_Young_University
University of Virginia School of Law	http://dbpedia.org/resource/University_of_Virginia_School_of_Law
Chattanooga State Technical Community College	http://dbpedia.org/resource/Chattanooga_State_Community_College
vice-president	NIL
Ottawa	http://dbpedia.org/resource/Ottawa
Distinguished Professor	http://dbpedia.org/resource/Professors_in_the_United_States
editor	http://dbpedia.org/resource/Editor-in-chief
quarterback	http://dbpedia.org/resource/Quarterback
legal scholar	http://dbpedia.org/resource/Jurist
Florence May Harding	http://dbpedia.org/resource/Florence_May_Harding
country	NIL
Samuel Clegg	http://dbpedia.org/resource/Samuel_Clegg
Mary McCarthy	http://dbpedia.org/resource/Mary_McCarthy_(author)
Joshua Fry Speed	http://dbpedia.org/resource/Joshua_Fry_Speed
Brigham Young Academy	http://dbpedia.org/resource/Brigham_Young_University
Donna Brazile	http://dbpedia.org/resource/Donna_Brazile
real estate companies	NIL
candidate	http://dbpedia.org/resource/Joe_Ellis
judge	http://dbpedia.org/resource/United_States_federal_judge
Calcutta University	http://dbpedia.org/resource/University_of_Calcutta
organizer	NIL
Minnesota	http://dbpedia.org/resource/Minnesota
United States House of Representatives	http://dbpedia.org/resource/United_States_House_of_Representatives
University of London	http://dbpedia.org/resource/University_of_London
President	http://dbpedia.org/resource/President_of_the_United_States
president	http://dbpedia.org/resource/Chancellor_(education)
Lee Seung Hyo	http://dbpedia.org/resource/Lee_Seung-hyo
King's School, Sydney	http://dbpedia.org/resource/The_King's_School,_Parramatta
Connecticut State Senate	http://dbpedia.org/resource/Connecticut_Senate
University of Illinois at Chicago	http://dbpedia.org/resource/University_of_Illinois_at_Chicago
Oberlin Conservatory	http://dbpedia.org/resource/Oberlin_Conservatory_of_Music
Richard Taylor	http://dbpedia.org/resource/Richard_Taylor_(British_politician)
Lac du Bonnet	http://dbpedia.org/resource/Lac_du_Bonnet_(electoral_district)
Walter Erle	http://dbpedia.org/resource/Walter_Erle
Vassar College	http://dbpedia.org/resource/Vassar_College
notables	NIL
county	http://dbpedia.org/resource/County
civil engineering	http://dbpedia.org/resource/Civil_engineering
Nickerson family	NIL
Jewish	http://dbpedia.org/resource/Jews
Pittsburgh Penguins	http://dbpedia.org/resource/Pittsburgh_Penguins
Hassan Husseini	http://dbpedia.org/resource/Hassan_Husseini
Al Gore	http://dbpedia.org/resource/Al_Gore
New York	http://dbpedia.org/resource/New_York
Brantford, Ontario	http://dbpedia.org/resource/Brantford
Iowa District Court	http://dbpedia.org/resource/List_of_former_United_States_district_courts
Poughkeepsie, New York	http://dbpedia.org/resource/Poughkeepsie,_New_York
Joint Security Area	http://dbpedia.org/resource/Joint_Security_Area
Joel Gilbert	http://dbpedia.org/resource/Joel_Gilbert
Rico Lebrun	http://dbpedia.org/resource/Rico_Lebrun
Harold Duane Vietor	http://dbpedia.org/resource/Harold_Duane_Vietor
Somerset	http://dbpedia.org/resource/Somerset
Louisiana State University	http://dbpedia.org/resource/Louisiana_State_University
Lee Allen	http://dbpedia.org/resource/Lee_Allen_(musician)
playwright	http://dbpedia.org/resource/Playwright
Cumming	NIL
Deputy Solicitor General	http://dbpedia.org/resource/United_States_Solicitor_General
Republican	http://dbpedia.org/resource/Republican_Party_(United_States)
Putney College	NIL
president	http://dbpedia.org/resource/President_of_the_United_States
Charborough	http://dbpedia.org/resource/Charborough_House
Associate Professor	http://dbpedia.org/resource/Professors_in_the_United_States
Robert P. Anderson	http://dbpedia.org/resource/Robert_P._Anderson
Dorothy Pole	NIL
he	http://dbpedia.org/resource/Jack_Conroy
Chicago	http://dbpedia.org/resource/Chicago
New York City	http://dbpedia.org/resource/New_York_City
Stephen Zepeda	http://dbpedia.org/resource/Stephen_Zepeda
City of London	http://dbpedia.org/resource/City_of_London
university	NIL
Philadelphia	http://dbpedia.org/resource/Philadelphia
Paul Polillo	http://dbpedia.org/resource/Paul_Polillo
Southborough, Massachusetts	http://dbpedia.org/resource/Southborough,_Massachusetts
United States Navy	http://dbpedia.org/resource/United_States_Navy
London School of Economics	http://dbpedia.org/resource/London_School_of_Economics
Fontainebleau	http://dbpedia.org/resource/Fontainebleau
political adviser	http://dbpedia.org/resource/Political_consulting
University of Ottawa	http://dbpedia.org/resource/University_of_Ottawa
Madison, Wisconsin	http://dbpedia.org/resource/Madison,_Wisconsin
Cedar Rapids, Iowa	http://dbpedia.org/resource/Cedar_Rapids,_Iowa
District of Connecticut	http://dbpedia.org/resource/United_States_District_Court_for_the_District_of_Connecticut
Southeastern Louisiana State University	http://dbpedia.org/resource/Southeastern_Louisiana_University
Southern California	http://dbpedia.org/resource/Southern_California
Alan N. Braverman	http://dbpedia.org/resource/Alan_N._Braverman
United States District Court	http://dbpedia.org/resource/United_States_district_court
sheriff	http://dbpedia.org/resource/Sheriff
David Campbell	http://dbpedia.org/resource/David_Campbell_(poet)
Portugal	http://dbpedia.org/resource/Kingdom_of_Portugal
Noank, Connecticut	http://dbpedia.org/resource/Noank,_Connecticut
composer	http://dbpedia.org/resource/Composer
Nickerson	http://dbpedia.org/resource/Eugene_Nickerson
woman	NIL
Walk for Peace	NIL
Demerara	http://dbpedia.org/resource/Demerara
New Jersey	http://dbpedia.org/resource/New_Jersey
royal engineers	http://dbpedia.org/resource/Royal_Engineers
Chris Corrigan	http://dbpedia.org/resource/Chris_Corrigan
Australia	http://dbpedia.org/resource/Australia
James Carville	http://dbpedia.org/resource/James_Carville
Nirmalya Kumar	http://dbpedia.org/resource/Nirmalya_Kumar
Legislative Assembly of Manitoba	http://dbpedia.org/resource/Legislative_Assembly_of_Manitoba
chief judge	http://dbpedia.org/resource/Chief_judge
American	http://dbpedia.org/resource/Americans
he	http://dbpedia.org/resource/Lee_Allen_(musician)
South Africa	http://dbpedia.org/resource/South_Africa
Charborough House	http://dbpedia.org/resource/Charborough_House
captain	NIL
lawyer	http://dbpedia.org/resource/Lawyer
Thomas Merrill	http://dbpedia.org/resource/Thomas_Merrill
Ottawa-Carleton	http://dbpedia.org/resource/Ottawa
man	http://dbpedia.org/resource/Rico_Lebrun
Safari Sam's	NIL
senator	NIL
Vice President of the United States	http://dbpedia.org/resource/Vice_President_of_the_United_States
American	NIL
Frank Azell	NIL
musician	http://dbpedia.org/resource/Musician
person	NIL
government	http://dbpedia.org/resource/Government
Farringdon Without	http://dbpedia.org/resource/Farringdon_Without
law clerk	http://dbpedia.org/resource/Law_clerk
Joseph L. Townsend	http://dbpedia.org/resource/Joseph_L._Townsend
Roosevelt	http://dbpedia.org/resource/Franklin_D._Roosevelt
Devon	http://dbpedia.org/resource/Devon
Michael Hollinger	http://dbpedia.org/resource/Michael_Hollinger
university	http://dbpedia.org/resource/University
he	http://dbpedia.org/resource/Joel_Gilbert
