Surface form	Link
Abdul Matin	http://aksw.org/notInWiki/Abdul_Matin
Abhijeet Group	http://aksw.org/notInWiki/Abhijeet_Group
ACCESS	http://dbpedia.org/resource/Arab_Community_Center_for_Economic_and_Social_Services
ACLU	http://dbpedia.org/resource/American_Civil_Liberties_Union
Action News	http://dbpedia.org/resource/Action_News
Adelson	http://dbpedia.org/resource/Sheldon_Adelson
Adria MacKenzie	http://aksw.org/notInWiki/Adria_MacKenzie
Adrian Lund	http://aksw.org/notInWiki/Adrian_Lund
Adrienne Kinne	http://aksw.org/notInWiki/Adrienne_Kinne
Aeroflot	http://dbpedia.org/resource/Aeroflot
Affordable Care Act	http://dbpedia.org/resource/Patient_Protection_and_Affordable_Care_Act
AFP	http://dbpedia.org/resource/Agence_France-Presse
Agustin Pichot	http://dbpedia.org/resource/Agust%C3%ADn_Pichot
AHS	http://aksw.org/notInWiki/Apalachee_High_School_football_team
AIBA	http://aksw.org/notInWiki/International_Boxing_Association
Aiea	http://dbpedia.org/resource/Aiea,_Hawaii
Al Shabaab	http://dbpedia.org/resource/Al-Shabaab
Alabama	http://dbpedia.org/resource/University_of_Alabama
Alan Grover	http://aksw.org/notInWiki/Alan_Grover
Alan Rifkin	http://aksw.org/notInWiki/Alan_Rifkin_(Analyst)
Alan Spinniken	http://aksw.org/notInWiki/Alan_Spinniken
Alberto Contador	http://dbpedia.org/resource/Alberto_Contador
Alec Gutierrez	http://aksw.org/notInWiki/Alec_Gutierrez
Alejandro Mayorkas	http://aksw.org/notInWiki/Alejandro_Mayorkas
Alex Rigopulos	http://dbpedia.org/resource/Alex_Rigopulos
Alexandru Ivan	http://aksw.org/notInWiki/Alexandru_Ivan
Alvaro Enciso	http://aksw.org/notInWiki/Alvaro_Enciso
Amazon	http://dbpedia.org/resource/Amazon.com
Ambassador Bridge	http://dbpedia.org/resource/Ambassador_Bridge
Amina	http://aksw.org/notInWiki/Amina
Amnesty International	http://dbpedia.org/resource/Amnesty_International
Anand Kumar	http://aksw.org/notInWiki/Anand_Kumar
Andrea Hlavackova	http://dbpedia.org/resource/Andrea_Hlav%C3%A1%C4%8Dkov%C3%A1
Andreas Seppi	http://dbpedia.org/resource/Andreas_Seppi
Andrew Fishkin	http://aksw.org/notInWiki/Andrew_Fishkin
Andrew Nickelhoff	http://aksw.org/notInWiki/Andrew_Nickelhoff
Andrew Strauss	http://dbpedia.org/resource/Andrew_Strauss
Andrew Struass	http://dbpedia.org/resource/Andrew_Strauss
Andrew Sussman	http://aksw.org/notInWiki/Andrew_Sussman
Andy Hall	http://aksw.org/notInWiki/Andy_Hall
Angel Di Maria	http://dbpedia.org/resource/%C3%81ngel_di_Mar%C3%ADa
Angela Chan	http://aksw.org/notInWiki/Angela_Chan
Angelique Kerber	http://dbpedia.org/resource/Angelique_Kerber
Anglo American Chairman	http://aksw.org/notInWiki/Anglo_American_Chairman%27s_Fund
Angus Houston	http://dbpedia.org/resource/Angus_Houston
