Surface form	Link
500	NILL
717	http://dbpedia.org/resource/Boeing_717
737	http://dbpedia.org/resource/Boeing_737
777	http://dbpedia.org/resource/Boeing_777
( ECB )	http://dbpedia.org/resource/European_Central_Bank
# 13 billion UK RAF airtanker contract	NILL
$ 16.6 billion in loans	NILL
$ 40 billion US airtanker contract	NILL
$ 50,000 with healthcare	NILL
$ 52.5 million financial assistance package	NILL
$ 75,000 without	NILL
1,000 songs	NILL
1,100 dealerships	NILL
1.83 and 2 GHz models	NILL
100 mid-air tanker aircraft	NILL
102 and 21 people	NILL
12 new long-haul Airbus aircraft	NILL
14 new Airbus A330-200 passenger airliner	NILL
14 plants	NILL
14 plants	NILL
14 plants	NILL
141,951 units	NILL
142,285 units	NILL
15,000 people including employees , customers , suppliers and officials from government and the local community	NILL
150 hours	NILL
150px Airbus	http://dbpedia.org/resource/Airbus
150px Airbus , Europe 's biggest aircraft manufacturer	http://dbpedia.org/resource/Airbus
168,000 units	NILL
179 new aerial refueling tankers	NILL
2 GHz model	NILL
200 new features	NILL
200 new features and new versions of application software such as e-mail client Mail , web browser Safari , and multi-person audio / video / text messaging client iChat	NILL
200-250 seats	no er
22 new Boeing 787 Dreamliner aircraft	NILL
22 new Boeing 787 Dreamliners	NILL
24 A320s	NILL
290 passengers plus cargo	NILL
3,800 attendees	NILL
30 short-haul aircraft ( 24 A320s and 6 A321s	NILL
301 passengers	NILL
3G iPhone	NILL
500 and 1,000 songs	NILL
500 Apple engineers	NILL
500 people	NILL
52 percent majority stake in Chrysler	NILL
555 people	no er
6 A321s	NILL
717 jet	http://dbpedia.org/resource/Boeing_717
737 aircraft	http://dbpedia.org/resource/Boeing_737
75 hours of video	NILL
777 planes	http://dbpedia.org/resource/Boeing_777
777s	http://dbpedia.org/resource/Boeing_777
777s	http://dbpedia.org/resource/Boeing_777
787 Dreamliner	http://dbpedia.org/resource/Boeing_787_Dreamliner
787s	http://dbpedia.org/resource/Boeing_787_Dreamliner
789 , or about a quarter , of its 3,200 dealers	NILL
789 dealerships	NILL
789 dealerships	NILL
840 people	no er
90 % of GM 's bondholders	NILL
a # 13 billion contract	NILL
a `` New GM	NILL
a `` New GM	NILL
a $ 20,000 cash payment	NILL
a $ 20,000 cash payment and a $ 25,000 new vehicle voucher	NILL
a $ 25,000 new vehicle voucher	NILL
a $ 25,000 vehicle voucher	NILL
a $ 25,000 vehicle voucher and $ 50,000 with healthcare and $ 75,000 without	NILL
a 13.3 '' widescreen display	NILL
a 27-year contract	NILL
a 3.5-inch LCD touchscreen display that is used to access all features of the phone including number dial , as well as making phone calls	NILL
a 30GB edition	NILL
a 30GB edition and a 60GB edition	NILL
a 3G version of its iPhone device	NILL
a 5th generation iPod	http://dbpedia.org/resource/IPod
a 60GB edition	NILL
a 72.4 percent stake	NILL
a 72.4 percent stake in the Romanian assembly plant Automobile Craiova	NILL
a AU$ 52.5 million ( US$ 40.4 million ) `` financial assistance package	NILL
a bankruptcy court	NILL
a Boeing 747	http://dbpedia.org/resource/Boeing_747
a contract	NILL
a corporate stake in GM Europe	NILL
a customer	http://dbpedia.org/resource/All_Nippon_Airways
a facelifted model	NILL
a firm	http://dbpedia.org/resource/General_Motors
a flight crew of six	NILL
a free case	NILL
a full passenger and luggage load	NILL
a higher price	NILL
a host of features	NILL
a large amount of stock	NILL
a larger memory space of up to 160GB or 40,000 songs	NILL
a leader in network and communication systems , based in San Jose	http://dbpedia.org/resource/Cisco
a letter to Apple 's board of directors	NILL
a London court	http://dbpedia.org/resource/Royal_Courts_of_Justice
a Manhattan , New York federal bankruptcy court	NILL
a market research firm	http://dbpedia.org/resource/NPD_Group
a market value of $ 348.8 billion	NILL
a media player which mimics the iPhone 's touch-screen capabilities	http://dbpedia.org/resource/IPod_Touch
a metal strip	NILL
a metal strip that wraps around the side of the device , which has caused dropped calls when held in a certain way	NILL
a mid-size insurance company	http://dbpedia.org/resource/Yamato_Life
a mid-size insurance company , Yamato Life Insurance Company	http://dbpedia.org/resource/Yamato_Life
a mobile version of the Apple operating system Mac OSX	NILL
a near-normal number of passengers	NILL
a new airliner	NILL
a new iCloud service	http://dbpedia.org/resource/ICloud
a new lineup of MacBook Air laptops	NILL
a new lineup of MacBook Air laptops and the 2011 version of the company 's iLife software suite	NILL
a new ultra-long range version of its 777 airliner , capable of flying from London to Sydney non-stop	http://dbpedia.org/resource/Boeing_777
a new version of the operating system that powers iPhones , iPod Touches , and iPads	http://dbpedia.org/resource/IOS_5
a new video section	NILL
a notebook computer replacing the PowerBook	http://dbpedia.org/resource/MacBook_Pro
a online music store	http://dbpedia.org/resource/ITunes_Store
a parking space	NILL
a picture of closed theater curtains	NILL
a plan to bail out three large American auto companies	NILL
a price of $ 1,099	NILL
a private letter	NILL
a private letter telling them of the decision	NILL
a prototype	NILL
a prototype of the new phone	NILL
a recording	NILL
a resolution of 320x240	NILL
a revolutionary car	http://dbpedia.org/resource/Ford_Taurus
a revolutionary mobile phone	http://dbpedia.org/resource/IPhone
a Romanian official	NILL
a score of Airbus A320 passenger jets	NILL
a sedan	http://dbpedia.org/resource/Ford_Taurus
a stock market index used to gauge the performance of American stock exchanges	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
a trader	NILL
a twenty percent stake	NILL
a twin-deck aircraft	no er
a U.S. manufacturing company	http://dbpedia.org/resource/General_Motors
A US$ 14 billion bailout package	NILL
a US$ 40 billion ( GB # 20.1 billion ) contract	NILL
a world-class aircraft fleet	NILL
A320s	NILL
A321s	NILL
A330-300E aircraft	NILL
A350 XWB ( Extra Wide Body ) aircraft	http://dbpedia.org/resource/Airbus_A350_XWB
A350s	http://dbpedia.org/resource/Airbus_A350_XWB
A380	http://dbpedia.org/resource/Airbus_A380
A380	http://dbpedia.org/resource/Airbus_A380
A380	http://dbpedia.org/resource/Airbus_A380
A380	http://dbpedia.org/resource/Airbus_A380
A380 superjumbo	http://dbpedia.org/resource/Airbus_A380
A380s	http://dbpedia.org/resource/Airbus_A380
about 1,100 of its dealerships	NILL
about 500 guests	NILL
Adam Air	http://dbpedia.org/resource/Adam_Air
Aer Lingus	http://dbpedia.org/resource/Aer_Lingus
Aer Lingus	http://dbpedia.org/resource/Aer_Lingus
Aer Lingus	http://dbpedia.org/resource/Aer_Lingus
Aer Lingus Group PLC	http://dbpedia.org/resource/Aer_Lingus
aerial refueling tankers	NILL
aerial refueling tankers	NILL
Aeroflot	http://dbpedia.org/resource/Aeroflot
agreement	NILL
Air Canada	http://dbpedia.org/resource/Air_Canada
Air Canada	http://dbpedia.org/resource/Air_Canada
air carriers	NILL
air carriers	NILL
Air China	http://dbpedia.org/resource/Air_China
Air Force	http://dbpedia.org/resource/United_States_Air_Force
Air France	http://dbpedia.org/resource/Air_France
Air France	http://dbpedia.org/resource/Air_France
Air India	http://dbpedia.org/resource/Air_India
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus	http://dbpedia.org/resource/Airbus
Airbus A320 jets	NILL
Airbus A320 passenger jets	NILL
Airbus A330-200 passenger airliner	http://dbpedia.org/resource/Airbus_A330
Airbus A380	http://dbpedia.org/resource/Airbus_A380
Airbus A380	http://dbpedia.org/resource/Airbus_A380
Airbus A380	http://dbpedia.org/resource/Airbus_A380
Airbus A400M	http://dbpedia.org/resource/Airbus_A400M_Atlas
Airbus chief executive Noel Forgeard	http://dbpedia.org/resource/No%C3%ABl_Forgeard
Airbus massive new A380 's	http://dbpedia.org/resource/Airbus_A380
Airbus parent company European Aeronautic Defence and Space Company EADS N.V. ( EADS	http://dbpedia.org/resource/Airbus_Group
